2,Lambaré
3,Asunción
4,Mariano Roque Alonso
5,REMANSITO
6,San Antonio
7,Ñemby
8,Limpio
9,Capiata
10,J. Augusto Saldivar
11,Ciudad del este
12,Luque
13,San Lorenzo
14,Pedro Juan Caballero
15,Fernando de la mora
16,Encarnacion
17,Coronel Oviedo
18,Caaguazu
19,Itaugua
20,Presidente Franco
21,Hernandarias
22,Minga Guazu
23,Concepcion
24,Villa Elisa
25,Aregua
26,Ita
27,Ypane
28,Villarrica
29,Caacupe
30,Villa Hayes
31,Cambyreta
32,San Estanislao
33,Santa rosa del Aguaray
34,Horqueta
35,Doctor Juan Eulogio Estigarribia
36,Villeta
37,Pilar
38,Curuguaty
39,San Pedro Ycuamandiyu
40,Capiibary
41,San Ignacio Guazu
42,Carapegua
43,Yaguaron
44,Saltos del Guaira
45,San Juan Neponuceno
46,Guayaibi
47,Guarambare
48,Tobati
49,Itakyry
50,Santa Rita
51,Piribebuy
52,Tomás Romero Pereira
53,Repatriación
54,Caazapá
55,Choré
56,Yhú
57,San Pedro del Paraná
58,Benjamín Aceval
59,	Abaí
60,Emboscada
61,Ypacaraí
62,San Juan Bautista
63,Paraguarí
64,Filadelfia
65,Paso Yobái
66,Loma Plata
67,Doctor Juan Manuel Frutos
68,Yasy Cañy
69,Arroyos y Esteros
70,Teniente Irala
71,Yby Yaú
72,Eusebio Ayala
73,Independencia
74,Liberación
75,Capitán Bado
76,Ybycuí
77,Pirayú
78,Edelira
79,Ayolas
80,Coronel Bogado
81,General Elizardo Aquino
82,Boquerón
83,Tavaí
84,Santa Rosa de Lima
85,Doctor Juan León Mallorquín
86,Juan Emiliano OLeary
87,Atyrá
88,Maracaná
89,Yuty
90,Natalio
91,Quiindy
92,Altos
93,San Rafael del Paraná
94,San José de los Arroyos
95,Tacuatí
96,Carlos Antonio López
97,Obligado
98,Loreto
99,Mariscal Estigarribia
100,Villa Ygatimí
101,Tres de Mayo
102,Tembiaporá
103,Hohenau
104,Acahay
105,Raúl Arsenio Oviedo
106,Yby Pytá
107,Yrybucuá
108,San Bernardino
109,Bella Vista Norte
110,Minga Porá
111,San Joaquín
112,San Vicente Pancholo
113,Alto Verá
114,San Lázaro
115,San Alberto
116,Nueva Esperanza
117,Carayaó
118,Katueté
119,Cerro Corá
120,Belén
121,Itacurubí del Rosario
122,Vaquería
123,Bella Vista Sur
124,Lima
125,Caraguatay
126,Yataity del Norte
127,Mayor Otaño
128,General Isidoro Resquín
129,Nueva Italia
130,San Roque
131,Capitán Mauricio José Troche
132,Capitán Miranda
133,Itapúa Poty
134,Capitán Meza
135,Puerto Pinasco
136,San Juan del Paraná
137,Itacurubí de la Cordillera
138,25 de Diciembre
139,Yatytay
140,General Artigas
141,Villa del Rosario
142,Ypejhú
143,San Cristóbal
144,Ybyrarobaná
145,Santa Rosa del Mbutuy
146,Fram
147,Arroyito
148,Yguazú
149,Mbocayaty del Guairá
150,Trinidad
151,General Álvarez
152,Borja
153,Corpus Christi
154,Horqueta
155,Alberdi
156,Tres de Febrero
157,Santa María de Fe
158,José Domingo Ocampos
159,San Cosme y Damián
160,La Paloma del Espíritu Santo
161,Los Cedrales
162,Iturbe
163,Tavapy
164,Mbuyapey
165,General Eugenio A. Garay
166,Azotey
167,Naranjal
168,Ñacunday
169,Carmen del Paraná
170,Mbaracayú
171,Juan de Mena
172,Sargento José Félix López
173,Pirapó
174,Itapé
175,Caapucú
176,R.I. Tres Corrales
177,Nanawa
178,Santiago
179,Santa Rosa del Monday
180,Valenzuela
181,Campo Aceval
182,General Delgado
183,Nueva Germania
184,Doctor Raúl Peña
185,Puerto Casado
186,Zanja Pytá
187,Ybytymí
188,Mariscal López
189,Isla Pucú
190,La Colmena
191,Sapucai
192,Jesús
193,José Fassardi
194,San Miguel
195,Fulgencio Yegros
196,Domingo Martínez de Irala
197,Unión
198,Primero de Marzo
199,	Karapaí
200,Nueva Alborada
201,Nueva Toledo
202,Doctor Cecilio Báez
203,Félix Pérez Cardozo
204,General Bernardino Caballero
205,Escobar
206,Simón Bolívar
207,General Higinio Morínigo
208,Nueva Colombia
209,Quyquyhó
210,Fuerte Olimpo
211,Coronel Martínez
212,Capitán Carmelo Peralta
213,Santa Elena
214,Cerrito
215,Buena Vista
216,Antequera
217,Yataity del Guairá
218,San José del Rosario
219,Paso Barreto
220,Santa Fe del Paraná
221,Iruña
222,Natalicio Talavera
223,Loma Grande
224,Doctor Moisés Santiago Bertoni
225,San Juan Bautista de Ñeembucú
226,José Falcón
227,Nueva Londres
228,Maciel
229,San Pablo
230,Villa Oliva
231,Mbocayaty del Yhaguy
232,La Pastora
233,Tebicuarymí
234,San Patricio
235,Nueva Asunción
236,General José Eduvigis Díaz
237,	Villa Florida
238,Mayor José Martínez
239,San José Obrero
240,María Antonia
241,Ñumí
242,Bahía Negra
243,Teniente Esteban Martínez
244,Tacuaras
245,La Paz
246,	Tebicuary
247,Laurel
248,San Salvador
249,General José María Bruguez
250,José Leandro Oviedo
251,Humaitá
252,San Alfredo
253,Itacuá
254,Laureles
255,Itanará
256,Isla Umbú
257,Yabebyry
258,	Paso de Patria
259,Villalbín
260,Guazú Cuá
261,Puerto Adela
262,Doctor Bottrell
263,Desmochados
264,Villa Franca
265,San Carlos del Apa
266,Sin registro
