000,1,100
BifocalktoAr,1,1
Multi Digital,1,10
isa19031,1,0
BifocalBlancoKTO,1,-1
32134,1,0
yy6105,1,0
ISA22004,1,0
6659,1,0
Multifocal Solamax,1,-1
Propio,1,1
111,1,999999999
MonoFotoAr,1,-1
Blue,1,-16
1302,1,0
MonoAntireflejo,1,-1
8999,1,0
Monofotoblue,1,-1
FRANCISCA ,1,999
hexa,1,0
Sin registro,1,1
MonoOrganicoBlanco,1,1
BifocalBlancoST,1,1
MultifocalStandar,1,1
Multifocal Standar AR,1,1
Multifocal Standar Blue,1,1
Bifocal Kto FotoCromatico,1,1
Bifocal Kto Fotocromatico AR,1,1
Multifocal Standar fotoblanco,1,1
Multifocal Standar FotoAR,1,1
Multifocal Solamax Antireflejo,1,1
